timestamp,asset_id,utilization,asset_type,group,power_idle,power_peak,capacity,memory_utilization,disk_io,network_io,business_critical,migratable,migration_cost,restart_risk_cost
2026-04-01 00:00:00,srv-001,6.2,CPU Server,Rack-A,210,520,1,18,3,4,No,Yes,300,100
2026-04-01 01:00:00,srv-001,5.8,CPU Server,Rack-A,210,520,1,16,2,3,No,Yes,300,100
2026-04-01 02:00:00,srv-001,7.1,CPU Server,Rack-A,210,520,1,17,3,3,No,Yes,300,100
2026-04-01 03:00:00,srv-001,6.5,CPU Server,Rack-A,210,520,1,19,4,5,No,Yes,300,100
2026-04-01 04:00:00,srv-001,5.2,CPU Server,Rack-A,210,520,1,15,2,2,No,Yes,300,100
2026-04-01 05:00:00,srv-001,6.8,CPU Server,Rack-A,210,520,1,18,3,4,No,Yes,300,100
2026-04-01 00:00:00,srv-002,42.0,CPU Server,Rack-A,230,580,1,55,20,26,No,Yes,600,200
2026-04-01 01:00:00,srv-002,38.5,CPU Server,Rack-A,230,580,1,50,18,24,No,Yes,600,200
2026-04-01 02:00:00,srv-002,45.3,CPU Server,Rack-A,230,580,1,58,21,30,No,Yes,600,200
2026-04-01 03:00:00,srv-002,50.1,CPU Server,Rack-A,230,580,1,62,23,33,No,Yes,600,200
2026-04-01 04:00:00,srv-002,47.8,CPU Server,Rack-A,230,580,1,59,22,31,No,Yes,600,200
2026-04-01 05:00:00,srv-002,44.2,CPU Server,Rack-A,230,580,1,56,20,29,No,Yes,600,200
2026-04-01 00:00:00,gpu-001,8.5,GPU Node,Rack-B,620,2200,2,12,4,8,No,Yes,1200,300
2026-04-01 01:00:00,gpu-001,7.8,GPU Node,Rack-B,620,2200,2,11,4,7,No,Yes,1200,300
2026-04-01 02:00:00,gpu-001,9.3,GPU Node,Rack-B,620,2200,2,13,5,8,No,Yes,1200,300
2026-04-01 03:00:00,gpu-001,8.1,GPU Node,Rack-B,620,2200,2,12,4,7,No,Yes,1200,300
2026-04-01 04:00:00,gpu-001,7.2,GPU Node,Rack-B,620,2200,2,11,3,6,No,Yes,1200,300
2026-04-01 05:00:00,gpu-001,8.0,GPU Node,Rack-B,620,2200,2,12,4,7,No,Yes,1200,300
2026-04-01 00:00:00,gpu-002,61.0,GPU Node,Rack-B,680,2450,2,70,35,42,No,No,1500,500
2026-04-01 01:00:00,gpu-002,64.5,GPU Node,Rack-B,680,2450,2,73,36,45,No,No,1500,500
2026-04-01 02:00:00,gpu-002,58.2,GPU Node,Rack-B,680,2450,2,66,31,40,No,No,1500,500
2026-04-01 03:00:00,gpu-002,67.8,GPU Node,Rack-B,680,2450,2,76,39,48,No,No,1500,500
2026-04-01 04:00:00,gpu-002,70.1,GPU Node,Rack-B,680,2450,2,79,42,50,No,No,1500,500
2026-04-01 05:00:00,gpu-002,63.4,GPU Node,Rack-B,680,2450,2,72,36,44,No,No,1500,500
2026-04-01 00:00:00,storage-001,4.1,Storage Node,Zone-1,260,520,1,66,45,8,Yes,No,800,500
2026-04-01 01:00:00,storage-001,4.3,Storage Node,Zone-1,260,520,1,68,47,9,Yes,No,800,500
2026-04-01 02:00:00,storage-001,5.0,Storage Node,Zone-1,260,520,1,70,49,10,Yes,No,800,500
2026-04-01 03:00:00,storage-001,4.8,Storage Node,Zone-1,260,520,1,69,48,9,Yes,No,800,500
2026-04-01 04:00:00,storage-001,4.2,Storage Node,Zone-1,260,520,1,67,46,8,Yes,No,800,500
2026-04-01 05:00:00,storage-001,4.5,Storage Node,Zone-1,260,520,1,68,47,9,Yes,No,800,500
2026-04-01 00:00:00,line-001,12.0,Production Device,Workshop-A,900,2500,3,15,10,12,No,Yes,2000,800
2026-04-01 01:00:00,line-001,15.5,Production Device,Workshop-A,900,2500,3,18,12,13,No,Yes,2000,800
2026-04-01 02:00:00,line-001,13.8,Production Device,Workshop-A,900,2500,3,17,11,12,No,Yes,2000,800
2026-04-01 03:00:00,line-001,16.2,Production Device,Workshop-A,900,2500,3,19,13,14,No,Yes,2000,800
2026-04-01 04:00:00,line-001,14.1,Production Device,Workshop-A,900,2500,3,18,12,13,No,Yes,2000,800
2026-04-01 05:00:00,line-001,15.0,Production Device,Workshop-A,900,2500,3,18,12,13,No,Yes,2000,800
